"wa_id","mal_id","title","work_type","genre","release","score","top_place"
2280,23311,"Гаро: Печать пламени []","ТВ (24 эп. + эп.-коллаж), 25 мин.","приключения, комедия, фэнтези","c 04.10.2014 по 28.03.2015",7.5,1963
2281,23249,"Uchuu Senkan Yamato 2199: Hoshi-Meguru Hakobune []","полнометражный фильм, 115 мин.","приключения, фантастика","06.12.2014",7.8,1526
2282,23931,"Uchuu Senkan Yamato 2199: Tsuioku no Koukai []","полнометражный фильм, 130 мин.","приключения, фантастика","11.10.2014",6.2,""
2283,23551,"Ай Май Ми [ТВ-2] []","ТВ (12 эп. + спэшл), 3 мин.","комедия, повседневность","c 08.07.2014 по 23.09.2014",5.8,""
2285,22225,"Мечница Момоко []","ТВ (12 эп.), 25 мин.","комедия, фэнтези","c 09.07.2014 по 24.09.2014",5.9,4437
2286,23837,"Meisou! Underworld []","Web (1 эп.), 3 мин.","приключения","14.04.2014",6.1,""
2288,23201,"Эпоха смут [ТВ-3] []","ТВ (12 эп.), 25 мин.","приключения","c 06.07.2014 по 28.09.2014",6.4,4000
2290,23251,"Загугли это, Коккури! []","ТВ (12 эп. + спэшл), 25 мин.","комедия, фэнтези","c 06.10.2014 по 22.12.2014",7.2,2687
2291,23285,"Paulette no Isu []","Web (1 эп.), 4 мин.","повседневность","21.03.2014",7.3,""
2292,23209,"Небесный метод [Celestial Method]","ТВ (13 эп.), 25 мин.","повседневность, мистика","c 05.10.2014 по 28.12.2014",7.1,2909
2294,23317,"Демон-дворецкий OVA []","OVA (2 эп.), 60 мин.","приключения","c 25.10.2014 по 15.11.2014",8.2,545
2295,23273,"Твоя апрельская ложь [Your Lie in April]","ТВ (22 эп.), 25 мин.","комедия, романтика, драма, музыкальный","c 10.10.2014 по 20.03.2015",8.7,86
2296,23213,"Недостаточная режиссура [Insufficient Direction]","ТВ (13 эп.), 3 мин.","комедия, повседневность","c 04.04.2014 по 04.07.2014",5.3,""
2297,23725,"Штурмовые ведьмы OVA-2 []","OVA (3 эп.), 30 мин.","приключения","c 20.09.2014 по 02.05.2015",6.5,3868
2299,23133,"M3: Чёрная сталь [M3 The Dark Metal]","ТВ (24 эп.), 25 мин.","триллер, мистика","c 22.04.2014 по 30.09.2014",6.7,3749
2300,22319,"Токийский гуль [ТВ-1] []","ТВ (12 эп.), 25 мин.","приключения, мистика, ужасы","c 04.07.2014 по 19.09.2014",7.5,1786
2301,23301,"Pocket Monsters XY: Mega Evolution []","ТВ-спэшл (4 эп.), 25 мин.","приключения","c 03.04.2014 по 29.10.2015",5.2,""
2302,22763,"Граница пустоты: Благословение будущего (спэшл) [The Garden of Sinners: Recalled Out Summer - Extra Chorus]","короткометражный фильм, 32 мин.","повседневность, романтика","28.09.2013",7.6,""
2303,18521,"Gunbare! Game Tengoku 2 []","OVA (1 эп.), 15 мин.","приключения, комедия","19.03.1998",6.0,""
2304,23721,"Carino Coni []","ТВ (26 эп.), 5 мин.","комедия","c 02.04.2014 по 01.10.2014",5.0,""
2305,24459,"Сказания Зестирии: Пришествие Пастыря []","ТВ-спэшл, 45 мин.","приключения, фэнтези","30.12.2014",7.7,1485
2306,24363,"Kitsune to Circus [The Big Top Crime]","короткометражный фильм, 9 мин.","комедия","??.??.1948",5.8,""
2307,24591,"Время Ёкай (фильм первый) []","полнометражный фильм, 97 мин.","приключения, фэнтези","20.12.2014",2.0,""
2308,24625,"Мастера Ганплы [ТВ-2] []","ТВ (25 эп.), 25 мин.","приключения, фантастика, меха","c 08.10.2014 по 01.04.2015",6.6,3519
2309,24629,"Граффити счастливой кухни [Gourmet Girl Graffiti]","ТВ (12 эп.), 25 мин.","повседневность, комедия","c 09.01.2015 по 27.03.2015",6.7,3656
2310,24705,"Я, два хвоста и пришельцев тьма [Gonna Be the Twin-Tail!!]","ТВ (12 эп.), 25 мин.","приключения, комедия, фэнтези, романтика","c 10.10.2014 по 26.12.2014",6.6,3952
2311,23787,"Hi Scoool! Seha Girl []","ТВ (13 эп.), 12 мин.","приключения","c 08.10.2014 по 24.12.2014",5.4,""
2312,12337,"Soukou Kihei Votoms: Uoodo []","OVA (1 эп.), 55 мин.","приключения, фантастика, меха","21.02.1986",4.0,""
2313,12337,"Soukou Kihei Votoms: Kummen []","OVA (1 эп.), 56 мин.","приключения, фантастика, меха","05.04.1986",4.0,""
2314,12337,"Soukou Kihei Votoms: Sansa []","OVA (1 эп.), 60 мин.","приключения, фантастика, меха","23.01.1988",4.0,""
2315,12337,"Soukou Kihei Votoms: Quaint []","OVA (1 эп.), 60 мин.","приключения, фантастика, меха","20.02.1988",5.0,""
2316,23775,"Атака титанов (компиляция 1) []","полнометражный фильм (2 эп.), 120 мин.","приключения, фэнтези, драма","c 31.10.2014 по 27.06.2015",7.1,""
2317,24719,"Shinrabanshou: Tenchishinmei no Shou []","Web (1 эп.)","приключения","28.06.2014","",""
