"wa_id","mal_id","title","work_type","genre","release","score","top_place"
1,47,"Акира [Akira]","полнометражный фильм, 124 мин.","приключения, фантастика, мистика","16.07.1988",8.0,715
2,66,"Адзуманга [Azumanga Daioh]","ТВ (26 эп.), 25 мин.","комедия, повседневность","c 09.04.2002 по 01.10.2002",8.6,136
3,33,"Берсерк [ТВ-1] [Berserk]","ТВ (25 эп.), 25 мин.","приключения, фэнтези, драма","c 08.10.1997 по 01.04.1998",8.9,23
4,2611,"Большая панда и маленькая панда [Panda! Go, Panda!]","короткометражный фильм, 35 мин.","комедия, фэнтези","17.12.1972",7.8,1345
5,2183,"Высокий удар Аянэ [Ayane's High Kick]","OVA (2 эп.), 30 мин.","комедия, спорт","c 21.01.1997 по 25.04.1997",6.5,3620
6,339,"Эксперименты Лэйн [Serial Experiments Lain]","ТВ (13 эп.), 25 мин.","фантастика, драма","c 07.07.1998 по 29.09.1998",8.4,278
7,2754,"Клеопатра Ди-Си [Cleopatra D.C.]","OVA (3 эп.), 30 мин.","приключения","c 28.04.1989 по 24.05.1991",6.2,4005
8,227,"Фури-кури []","OVA (6 эп.), 25 мин.","комедия, фантастика","c 26.04.2000 по 16.03.2001",8.5,219
9,1952,"Ночные воины: Охотники на вампиров [Night Warriors: Darkstalkers' Revenge]","OVA (4 эп.), 40 мин.","приключения, фэнтези","c 21.03.1997 по 27.03.1998",6.8,3561
10,306,"Абэнобаси: Волшебный торговый квартал [Magical Shopping Arcade Abenobashi]","ТВ (13 эп.), 25 мин.","приключения, комедия, мистика","c 04.04.2002 по 27.06.2002",8.1,694
11,49,"Моя богиня! OVA-1 [Oh My Goddess!]","OVA (5 эп.), 30 мин.","комедия, романтика, фэнтези","c 21.02.1993 по 17.05.1994",8.2,459
12,304,"Моя богиня! (фильм) [Ah! My Goddess: The Movie]","полнометражный фильм, 111 мин.","приключения, романтика, фэнтези","21.10.2000",8.1,672
13,1734,"Адзиму: Пляжная история []","Web (4 эп.), 30 мин.","комедия, романтика, повседневность","c 15.06.2001 по 24.02.2002",7.4,2179
14,2249,"Сага об Амоне [Amon Saga]","полнометражный фильм, 72 мин.","приключения, фэнтези","19.07.1986",5.3,4656
15,52,"Арена ангелов [Angelic Layer]","ТВ (26 эп.), 25 мин.","приключения, комедия, фантастика","c 01.04.2001 по 30.09.2001",7.9,1020
16,885,"Яйцо ангела [Angel's Egg]","OVA (1 эп.), 75 мин.","фэнтези, драма","15.12.1985",7.9,1056
17,1303,"Аниматрица [The Animatrix]","OVA (9 эп.), 10 мин.","приключения, фантастика","03.06.2003",7.6,1603
18,404,"Ублюдок!! Сокрушитель тьмы [Bastard! Destroyer of Darkness]","OVA (6 эп.), 30 мин.","приключения, комедия, фэнтези","c 25.08.1992 по 25.06.1993",7.7,1316
19,1016,"Сны оружия [Battle Angel]","OVA (2 эп.), 30 мин.","приключения, фантастика, драма","c 21.06.1993 по 21.08.1993",8.0,866
20,1521,"Медицинские карты Чёрного Джека (фильм первый) []","полнометражный фильм, 93 мин.","приключения, драма","30.11.1996",7.2,2707
21,405,"Кровь: Последний вампир [Blood: the Last Vampire]","короткометражный фильм, 50 мин.","приключения, триллер, мистика","18.11.2000",6.9,3423
22,1051,"Последняя субмарина [Blue Submarine No.6]","OVA (4 эп.), 30 мин.","приключения, фантастика","c 25.10.1998 по 25.03.2000",7.4,2046
23,597,"Возвращение кота [The Cat Returns]","полнометражный фильм, 75 мин.","приключения, фэнтези","20.07.2002",8.2,534
24,59,"Чобиты [Chobits]","ТВ (26 эп. + спэшл), 25 мин.","романтика, комедия, фантастика, этти","c 03.04.2002 по 25.09.2002",8.3,353
25,5,"Ковбой Бибоп: Достучаться до небес [Cowboy Bebop: Knockin' on Heaven's Door]","полнометражный фильм, 114 мин.","приключения, фантастика","01.09.2001",8.6,137
26,1,"Ковбой Бибоп [Cowboy Bebop]","ТВ (26 эп. + эп.-коллаж), 25 мин.","приключения, комедия, драма, фантастика","c 03.04.1998 по 24.04.1999",9.0,15
27,1352,"Кибер-город Эдо 808 []","OVA (3 эп.), 45 мин.","приключения, фантастика, меха","c 21.06.1990 по 04.10.1991",7.7,1349
28,1494,"Тёмный мститель Дарксайд []","полнометражный фильм, 85 мин.","фантастика, драма","08.10.1994",6.8,3580
29,499,"Синдзюку - город-ад [Demon City Shinjuku]","OVA (1 эп.), 80 мин.","приключения, фэнтези, триллер","25.10.1988",7.1,2923
30,1151,"Доминион: Танковая полиция [Dominion Tank Police]","OVA (4 эп.), 40 мин.","приключения, комедия, фантастика","c 27.05.1988 по 11.08.1989",7.7,1527
31,3906,"H.P. Lovecraft no Dunwich Horror [H.P. Lovecraft's Dunwich Horror and Other Stories]","OVA (1 эп.), 46 мин.","ужасы","28.08.2007",6.9,3125
32,30,"Евангелион [Neon Genesis Evangelion]","ТВ (26 эп.), 25 мин.","драма, фантастика, меха","c 04.10.1995 по 27.03.1996",8.7,83
33,31,"Евангелион: Смерть и перерождение [Neon Genesis Evangelion: Death & Rebirth]","полнометражный фильм, 100 мин.","драма, фантастика, меха","15.03.1997",7.5,1891
34,32,"Конец Евангелиона [Neon Genesis Evangelion: The End of Evangelion]","полнометражный фильм, 90 мин.","драма, фантастика, меха","19.07.1997",8.5,167
35,71,"Стальная тревога! [Full Metal Panic!]","ТВ (24 эп.), 25 мин.","приключения, комедия, романтика, меха","c 08.01.2002 по 18.06.2002",8.3,378
36,1301,"Галактический экспресс 999 (фильм) [Galaxy Express 999 Movie]","полнометражный фильм, 130 мин.","фантастика, приключения, драма","04.08.1979",8.1,770
37,1833,"Гарага [Garaga]","полнометражный фильм, 100 мин.","приключения, фантастика","21.10.1989",5.6,4588
38,43,"Призрак в доспехах [Ghost in the Shell]","полнометражный фильм, 80 мин.","приключения, фантастика","18.11.1995",8.7,74
39,467,"Призрак в доспехах: Синдром одиночки [ТВ-1] [Ghost in the Shell: Stand Alone Complex]","ТВ (26 эп.), 25 мин.","приключения, фантастика, меха","c 01.10.2002 по 01.10.2003",8.7,81
40,268,"Золотой парень [Golden Boy]","OVA (6 эп.), 30 мин.","комедия, этти","c 27.10.1995 по 28.06.1996",8.6,117
41,578,"Могила светлячков [Grave of the Fireflies]","полнометражный фильм, 90 мин.","драма, повседневность","16.04.1988",8.8,31
42,387,"Союз Серокрылых []","ТВ (13 эп.), 25 мин.","повседневность, фэнтези, драма","c 10.10.2002 по 19.12.2002",8.6,118
43,650,"Оружейницы [Gunsmith Cats]","OVA (3 эп.), 30 мин.","приключения, комедия, детектив, этти","c 01.11.1995 по 01.09.1996",7.2,2796
44,319,"Счастливый мир! [Happy World!]","OVA (3 эп.), 30 мин.","комедия, романтика, фэнтези, этти","c 13.12.2002 по 27.06.2003",6.7,3719
45,270,"Хеллсинг: Война с нечистью [Hellsing]","ТВ (13 эп. + спэшл), 25 мин.","приключения, фэнтези, драма","c 11.10.2001 по 17.01.2002",8.2,502
46,743,"Здесь слышен океан [Ocean Waves]","полнометражный фильм, 72 мин.","романтика, повседневность","05.05.1993",7.8,1227
47,1084,"Айдзу OVA-1 [I''s]","OVA (2 эп.), 30 мин.","романтика, драма","c 09.12.2002 по 19.03.2003",5.7,4573
48,570,"Оборотни [Jin Roh: The Wolf Brigade]","полнометражный фильм, 100 мин.","драма, триллер, фантастика","17.11.1999",8.3,380
49,2524,"В джунгли! []","OVA (3 эп.), 25 мин.","комедия, приключения, этти, мистика","c 26.03.1997 по 26.09.1997",6.9,3217
50,512,"Ведьмина служба доставки [Kiki's Delivery Service]","полнометражный фильм, 112 мин.","приключения, комедия, драма, фэнтези","29.07.1989",8.5,168
51,513,"Небесный замок Лапута [Laputa: Castle in the Sky]","полнометражный фильм, 125 мин.","приключения, фэнтези, романтика","02.08.1986",8.5,195
52,97,"Изгнанник [ТВ-1] [Last Exile]","ТВ (26 эп.), 25 мин.","приключения, фантастика, драма","c 08.04.2003 по 30.09.2003",8.5,158
53,189,"Любовь и Хина [ТВ] [Love Hina]","ТВ (24 эп. + 2 спэшла), 25 мин.","романтика, комедия, этти, повседневность","c 19.04.2000 по 27.09.2000",7.9,909
54,190,"Снова любовь и Хина [Love Hina Again]","OVA (3 эп.), 30 мин.","романтика, комедия, этти","c 26.01.2002 по 27.03.2002",7.9,1060
55,191,"Любовь и Хина (рождественский спешл) []","ТВ-спэшл (1 эп.), 60 мин.","романтика, комедия, повседневность","25.12.2000",7.9,""
56,192,"Любовь и Хина (весенний спешл) []","ТВ-спэшл (1 эп.), 45 мин.","романтика, комедия","02.04.2001",7.6,""
57,1430,"Люпен III: Замок Калиостро (фильм второй) [Lupin III: The Castle of Cagliostro]","полнометражный фильм, 100 мин.","приключения, комедия","15.12.1979",7.9,1076
58,1462,"Воспоминания о будущем [Memories]","полнометражный фильм, 115 мин.","фантастика, драма, комедия","23.12.1995",7.9,892
59,522,"Метрополис [Metropolis]","полнометражный фильм, 107 мин.","приключения, фантастика, драма","26.05.2001",7.4,2156
60,1033,"Актриса тысячелетия [Millennium Actress]","полнометражный фильм, 90 мин.","триллер, романтика, драма","28.07.2001",8.5,192
61,415,"Наши соседи - семья Ямада [My Neighbors the Yamadas]","полнометражный фильм, 105 мин.","комедия, повседневность","17.07.1999",8.2,488
62,523,"Мой сосед Тоторо [My Neighbor Totoro]","полнометражный фильм, 88 мин.","приключения, комедия, фэнтези","16.04.1988",8.9,22
63,572,"Навсикая из Долины ветров [Nausicaa from the Valley of the Wind]","полнометражный фильм, 116 мин.","приключения, фэнтези","11.03.1984",8.7,66
64,800,"Ния под семёркой []","ТВ (13 эп.), 25 мин.","комедия, повседневность, фантастика","c 26.04.2000 по 19.07.2000",7.9,975
66,272,"Нуар [Noir]","ТВ (26 эп.), 25 мин.","приключения, драма","c 06.04.2001 по 28.09.2001",8.0,773
65,617,"Манускрипт ниндзя [Ninja Scroll]","полнометражный фильм, 92 мин.","приключения, фэнтези, романтика","05.06.1993",8.1,589
67,1029,"Ещё вчера [Only Yesterday]","полнометражный фильм, 120 мин.","повседневность","20.07.1991",8.1,615
68,437,"Идеальная грусть [Perfect Blue]","полнометражный фильм, 80 мин.","триллер, драма","28.02.1998",8.2,510
69,326,"Магазинчик ужасов [Pet Shop of Horrors]","ТВ (4 эп.), 25 мин.","мистика, триллер","c 02.03.1999 по 23.03.1999",8.0,700
70,599,"Компания по борьбе с духами [Phantom Quest Corp.]","OVA (4 эп. + спэшл), 30 мин.","приключения, комедия, мистика, детектив","c 25.08.1994 по 25.02.1995",7.6,1799
71,2793,"Жар-птица 2772: Космозона любви [Phoenix 2772]","полнометражный фильм, 122 мин.","фантастика, приключения, драма","15.03.1980",7.7,1571
72,1944,"Фотон: Приключения идиота [Photon]","OVA (6 эп.), 30 мин.","комедия, фантастика, приключения, этти","c 21.11.1997 по 18.02.1999",7.8,1177
73,2332,"Пластиковая малышка [Plastic Little: The Adventures of Captain Tita]","OVA (1 эп.), 48 мин.","комедия, приключения, фантастика, этти","21.03.1994",6.2,4391
74,195,"Пожалуйста! Учитель [ТВ] [Please Teacher!]","ТВ (12 эп. + спэшлы), 25 мин.","романтика, комедия, драма","c 10.01.2002 по 28.03.2002",8.2,467
75,1030,"Помпоко: Война тануки [Pom Poko]","полнометражный фильм, 120 мин.","комедия, драма, фэнтези","16.07.1994",8.0,748
76,416,"Порко Россо [Porco Rosso]","полнометражный фильм, 91 мин.","приключения, романтика, комедия","18.07.1992",8.3,313
77,164,"Принцесса Мононокэ [Princess Mononoke]","полнометражный фильм, 135 мин.","приключения, фэнтези, драма","12.07.1997",8.8,33
78,564,"Пуни Пуни Поэми [Puni Puni Poemy]","OVA (2 эп.), 30 мин.","комедия, махо-сёдзё, этти","c 07.03.2001 по 19.12.2001",7.3,2350
79,210,"Ранма 1/2 []","ТВ (161 эп.), 25 мин.","приключения, комедия, романтика, фэнтези","c 15.04.1989 по 25.09.1992",8.5,217
80,208,"Прочти или умри OVA []","OVA (3 эп.), 30 мин.","приключения, фантастика","c 23.05.2001 по 06.02.2002",7.5,1971
81,1181,"Исследователи руин [Ruin Explorers]","OVA (4 эп.), 30 мин.","приключения, комедия, фэнтези","c 25.06.1995 по 25.02.1996",7.6,1806
82,44,"Бродяга Кэнсин OVA-1 [Samurai X: Trust & Betrayal]","OVA (4 эп.), 30 мин.","приключения, романтика, драма","c 20.02.1999 по 22.09.1999",8.9,16
83,1182,"Принцесса-шаман [Shamanic Princess]","OVA (6 эп.), 30 мин.","приключения, фэнтези, романтика","c 25.06.1996 по 25.06.1998",7.2,2769
84,1004,"Она и её кот [She and Her Cat]","OVA (1 эп.), 5 мин.","повседневность","??.??.2000",8.5,164
85,2262,"Sin: Создатели монстров [Sin: The Movie]","OVA (1 эп.), 60 мин.","приключения, фантастика","24.10.2000",5.1,4680
86,2452,"Космические приключения Кобры (фильм) [Space Adventure Cobra Movie]","полнометражный фильм, 100 мин.","приключения, фантастика","03.07.1982",7.9,1178
87,199,"Унесённые призраками [Spirited Away]","полнометражный фильм, 125 мин.","приключения, фэнтези, драма","20.07.2001",9.1,4
88,420,"Спригган [Spriggan]","полнометражный фильм, 90 мин.","приключения, фантастика","05.09.1998",6.5,4039
89,537,"Теккен [Tekken: The Motion Picture]","OVA (2 эп.), 30 мин.","боевые искусства, фантастика","c 21.01.1998 по 21.02.1998",5.6,4597
90,1006,"Тэнти - лишний! (фильм первый) [Tenchi the Movie: Tenchi Muyo in Love]","полнометражный фильм, 95 мин.","приключения, комедия","20.04.1996",7.7,1468
91,1144,"Тэнти - лишний! (фильм третий) [Tenchi the Movie: Tenchi Muyo in Love 2]","полнометражный фильм, 95 мин.","приключения, комедия","24.04.1999",7.3,2336
92,539,"Тэнти - лишний! Рё-о-ки [No Need for Tenchi!]","OVA (6 эп.), 30 мин.","комедия, романтика, фантастика, этти","c 25.09.1992 по 25.03.1993",8.2,533
93,1613,"Странница во времени Кёко []","короткометражный фильм, 11 мин.","приключения, комедия, фэнтези","02.08.2001",6.0,""
94,1043,"Токио - Вавилон [Tokyo Babylon]","OVA (2 эп.), 50 мин.","детектив, мистика","c 21.10.1992 по 21.03.1994",6.9,3325
95,6,"Триган [ТВ] [Trigun]","ТВ (26 эп.), 25 мин.","приключения, комедия, драма, фантастика","c 02.04.1998 по 01.10.1998",8.7,65
96,543,"D: Жажда крови [Vampire Hunter D: Bloodlust]","полнометражный фильм, 105 мин.","приключения, фэнтези","21.04.2001",8.3,323
97,201,"Ай - девушка с кассеты [Video Girl Ai]","OVA (6 эп.), 30 мин.","комедия, романтика, этти","c 27.03.1992 по 28.08.1992",8.2,546
98,182,"Видение Эскафлона [ТВ] [The Vision of Escaflowne]","ТВ (26 эп.), 25 мин.","приключения, фэнтези, романтика, меха","c 02.04.1996 по 24.09.1996",8.0,708
99,393,"Видение Эскафлона (фильм) [Escaflowne: The Movie]","полнометражный фильм, 110 мин.","приключения, фэнтези","24.06.2000",7.1,2872
100,256,"Голос далёкой звезды [Voices of a Distant Star]","OVA (1 эп.), 25 мин.","романтика, драма, фантастика","02.02.2002",8.4,286
101,585,"Шёпот сердца [Whisper of the Heart]","полнометражный фильм, 111 мин.","романтика, повседневность","15.07.1995",8.7,85
102,1793,"Ветер амнезии [A Wind Named Amnesia]","полнометражный фильм, 80 мин.","приключения, фантастика, драма","22.12.1990",7.2,2560
103,1130,"Виндария [Once Upon a Time]","полнометражный фильм, 102 мин.","приключения, романтика, драма, фэнтези","19.07.1986",7.1,3058
104,7,"Робин - охотница на ведьм [Witch Hunter Robin]","ТВ (26 эп.), 25 мин.","драма, детектив, мистика, фантастика","c 03.07.2002 по 25.12.2002",7.8,1171
105,202,"Волчий дождь [ТВ] [Wolf's Rain TV]","ТВ (26 эп.), 25 мин.","приключения, фэнтези, драма","c 07.01.2003 по 29.07.2003",8.4,236
106,1378,"Гнев ниндзя (фильм) [Wrath of the Ninja: The Yotoden Movie]","полнометражный фильм, 90 мин.","приключения, фэнтези","27.05.1989",5.6,4584
107,156,"Икс [ТВ] [X (2001)]","ТВ (24 эп.), 25 мин.","приключения, мистика, драма","c 03.10.2001 по 27.03.2002",8.0,837
108,155,"Икс (фильм) [X]","полнометражный фильм, 100 мин.","приключения, мистика, романтика","03.08.1996",6.8,3633
109,6166,"Давайте играть! [ТВ] [Cat Planet Cuties]","ТВ (12 эп.), 25 мин.","комедия, романтика, этти","c 11.07.2010 по 26.09.2010",7.4,2229
110,5337,"Бакуган [ТВ-2] [Bakugan Battle Brawlers: New Vestroia]","ТВ (52 эп.), 25 мин.","приключения","c 12.04.2009 по 09.05.2010",7.5,""
111,6114,"Радуга: Семеро из шестой камеры []","ТВ (26 эп.), 25 мин.","драма","c 07.04.2010 по 29.09.2010",8.6,108
112,17213,"Вперёд, Анпанман! (фильм #21) []","короткометражный фильм, 50 мин.","приключения","04.07.2009",5.5,""
113,11791,"Вперёд, Анпанман! (фильм #15) []","короткометражный фильм, 50 мин.","приключения","12.07.2003",2.0,""
114,8862,"Ganbare Goemon: Jigen Jou no Akumu []","OVA (1 эп.), 30 мин.","приключения, комедия","26.03.1993","",""
115,8064,"Постояльцы Асиарай []","OVA (1 эп.), 6 мин.","комедия, повседневность","25.03.2010",5.7,""
116,7724,"Усопшие [Corpse Demons]","ТВ (22 эп. + 2 спэшла), 25 мин.","триллер, мистика, драма","c 09.07.2010 по 31.12.2010",8.5,182
118,8287,"SD Gundam Sangokuden Brave Battle Warriors []","ТВ (51 эп.), 12 мин.","приключения, меха","c 03.04.2010 по 26.03.2011",4.8,""
119,7627,"Отвязная троица [ТВ-1] []","ТВ (13 эп. + спэшл), 25 мин.","комедия, повседневность","c 03.07.2010 по 26.09.2010",8.1,647
120,7592,"Внук Нурарихёна [ТВ-1] [Nura: Rise of the Yokai Clan]","ТВ (24 эп. + 2 эп.-коллажа), 25 мин.","приключения, мистика","c 06.07.2010 по 21.12.2010",8.2,512
122,10595,"VitaminX Addiction []","OVA (3 эп.), 30 мин.","романтика","c 26.08.2011 по 21.10.2011","",""
123,10397,"Белоснежная симфония: Цвет влюблённых [Mashiroiro Symphony: The Color of Lovers]","ТВ (12 эп. + спэшлы), 25 мин.","романтика, драма","c 05.10.2011 по 21.12.2011",7.6,1738
124,10396,"Бэнто []","ТВ (12 эп. + спэшлы), 25 мин.","приключения, комедия, этти","c 09.10.2011 по 25.12.2011",7.7,1424
125,10800,"Игра Тихайи [ТВ-1] []","ТВ (25 эп.), 25 мин.","романтика, спорт","c 05.10.2011 по 28.03.2012",8.5,174
126,11061,"Охотник х Охотник [ТВ-2] []","ТВ (148 эп.), 25 мин.","приключения, фэнтези, комедия","c 02.10.2011 по 24.09.2014",8.8,45
127,11111,"Иная []","ТВ (12 эп.), 25 мин.","триллер, мистика","c 10.01.2012 по 27.03.2012",8.3,339
129,11235,"Амагами СС [ТВ-2] [Amagami SS +Plus]","ТВ (13 эп. + спэшлы), 25 мин.","комедия, романтика, повседневность","c 06.01.2012 по 30.03.2012",8.0,732
130,11241,"Десятка отважных []","ТВ (12 эп.), 25 мин.","приключения, фэнтези","c 08.01.2012 по 25.03.2012",7.5,1987
131,11285,"Стрелок с Черной скалы [ТВ-1] []","ТВ (8 эп.), 25 мин.","приключения, фэнтези","c 03.02.2012 по 23.03.2012",7.2,2611
132,11319,"Подручный Луизы-Нулизы (четвертый сезон) [The Familiar of Zero F]","ТВ (12 эп.), 25 мин.","комедия, романтика, фэнтези, этти","c 07.01.2012 по 24.03.2012",7.8,1137
133,9228,"Wan Wan Chuushingura [Doggie March]","полнометражный фильм, 82 мин.","приключения, фэнтези","21.12.1963",6.4,""
134,17521,"Кэн - мальчик-волк [Ken the Wolf Boy]","ТВ (86 эп.), 25 мин.","приключения, фэнтези","c 25.11.1963 по 16.08.1965",6.0,""
135,13307,"Мальчик-ниндзя Фудзимару []","ТВ (65 эп.), 25 мин.","приключения","c 07.06.1964 по 31.08.1965",5.5,""
136,2833,"Приключения Гулливера [Gulliver's Travels Beyond the Moon]","полнометражный фильм, 80 мин.","приключения, фантастика","20.03.1965",6.4,""
137,19681,"Суетливый Панч [Hustle Punch]","ТВ (26 эп.), 25 мин.","приключения, комедия","c 01.11.1965 по 25.04.1966",7.5,""
138,9438,"Rainbow Sentai Robin []","ТВ (48 эп.), 25 мин.","приключения, фантастика","c 23.04.1966 по 24.03.1967",6.0,""
139,3356,"Ведьма Салли [ТВ-1] []","ТВ (109 эп.), 25 мин.","комедия, махо-сёдзё","c 05.12.1966 по 30.12.1968",7.3,2474
140,1044,"Принц Севера [The Great Adventure of Horus, Prince of the Sun]","полнометражный фильм, 85 мин.","приключения, фэнтези, драма","21.07.1968",6.9,3426
141,2279,"Кот в сапогах [The Wonderful World of Puss 'n Boots]","полнометражный фильм, 80 мин.","приключения, комедия, фэнтези","18.03.1969",8.0,938
142,2811,"Летающий корабль-призрак [Flying Phantom Ship]","полнометражный фильм, 60 мин.","приключения, фантастика, драма","20.07.1969",7.4,2074
143,3285,"Himitsu no Akko-chan []","ТВ (94 эп.), 25 мин.","махо-сёдзё","c 06.01.1969 по 26.10.1970",7.5,""
144,8234,"Муми-тролли [Moomin (1969)]","ТВ (65 эп.), 25 мин.","приключения, комедия, фэнтези","c 05.10.1969 по 27.12.1970",8.6,""
145,3842,"Doubutsu Takarajima [Animal Treasure Island]","полнометражный фильм, 78 мин.","приключения, фэнтези","20.03.1971",7.3,2520
146,3843,"Али-Баба и сорок разбойников []","короткометражный фильм, 56 мин.","приключения, комедия","18.07.1971",6.9,""
147,3786,"Евангелион: 3.0+1.01: Как-то раз [Evangelion: 3.0+1.0]","полнометражный фильм, 155 мин.","приключения, фантастика","08.03.2021",7.2,2661
148,6311,"Малышка Эцуко Сарутоби []","ТВ (26 эп.), 25 мин.","комедия","c 04.10.1971 по 27.03.1972",8.7,""
149,1412,"Люпен III [ТВ] [Lupin III]","ТВ (23 эп.), 25 мин.","приключения, комедия","c 24.10.1971 по 26.03.1972",8.0,941
150,11275,"Красногрудый Судзуносукэ []","ТВ (52 эп.), 25 мин.","приключения","c 05.04.1972 по 28.03.1973",8.0,""
152,4597,"Kouya no Shounen Isamu []","ТВ (52 эп.), 25 мин.","приключения","c 04.04.1973 по 27.03.1974","",""
153,9916,"Samurai Giants []","ТВ (48 эп.), 25 мин.","спорт, комедия","c 07.10.1973 по 29.09.1974",7.2,""
154,2553,"Фландрийский пес [ТВ] [A Dog of Flanders]","ТВ (52 эп. + 2 спэшла), 25 мин.","повседневность, драма","c 05.01.1975 по 28.12.1975",8.5,767
155,1663,"3000 лиг в поисках матери [ТВ] [3000 Miles In Search of Mother]","ТВ (52 эп. + 2 спэшла), 25 мин.","приключения, драма","c 04.01.1976 по 26.12.1976",8.3,""
156,2576,"Енот по имени Раскал [Rascal the Raccoon]","ТВ (52 эп. + 2 спэшла), 25 мин.","повседневность, драма","c 02.01.1977 по 25.12.1977",9.0,""
157,302,"Конан - мальчик из будущего [Conan, The Boy in Future]","ТВ (26 эп.), 30 мин.","приключения, фантастика, драма","c 04.04.1978 по 31.10.1978",8.5,269
158,283,"Энн из Зеленых Крыш [ТВ] [Anne of Green Gables]","ТВ (50 эп. + 2 спэшла), 25 мин.","повседневность, драма","c 07.01.1979 по 30.12.1979",8.4,416
160,479,"Закон Уэки [The Law of Ueki]","ТВ (51 эп.), 25 мин.","приключения, комедия, мистика","c 04.04.2005 по 27.03.2006",7.8,1343
161,4208,"Новый Железный человек №28 [The New Adventures of Gigantor]","ТВ (51 эп.), 25 мин.","приключения, фантастика, меха","c 03.10.1980 по 25.09.1981",5.6,""
162,1972,"Великий детектив Холмс [ТВ] [Sherlock Hound]","ТВ (26 эп.), 25 мин.","приключения, комедия, детектив","c 06.11.1984 по 21.05.1985",7.0,2958
163,2041,"Суперпоросёнок []","ТВ (51 эп.), 25 мин.","комедия, романтика, махо-сёдзё","c 03.09.1994 по 26.08.1995",7.4,""
164,2286,"Маленький Нимо: Приключения в стране снов [Little Nemo: Adventures in Slumberland]","полнометражный фильм, 95 мин.","приключения, фэнтези","15.07.1989",7.9,1405
165,400,"Звездные рыцари со Звезды изгоев [Outlaw Star]","ТВ (26 эп.), 25 мин.","приключения, комедия, фантастика","c 09.01.1998 по 26.06.1998",8.3,384
166,3626,"Мобильный Гандам W OVA [Mobile Suit Gundam Wing: Operation Meteor]","OVA (4 эп.), 60 мин.","приключения, фантастика, меха, драма","c 25.04.1996 по 25.10.1996",4.2,""
167,1287,"Один: Космический корабль «Звёздный свет» [Odin: Photon Sailor Starlight]","полнометражный фильм, 139 мин.","фантастика, драма","10.08.1985",7.1,2939
168,2897,"Nandarou []","ТВ-спэшл, 1 мин.","","??.11.1992",5.0,""
169,1047,"На старт! [On Your Mark]","музыкальное видео, 7 мин.","фантастика, драма, музыкальный","15.07.1995",8.5,216
170,2060,"Девичья сила (фильм) [Gall Force: Eternal Story]","полнометражный фильм, 86 мин.","приключения, фантастика","26.07.1986",7.3,2541
171,1347,"Кризис каждый день [Bubblegum Crisis]","OVA (8 эп.), 50 мин.","приключения, фантастика, меха","c 25.02.1987 по 30.01.1991",7.8,1296
172,2061,"Девичья сила OVA-1 [Gall Force 2: Destruction]","OVA (1 эп.), 50 мин.","приключения, фантастика","21.11.1987",6.8,3374
173,2062,"Девичья сила OVA-2 [Gall Force 3: Stardust War]","OVA (1 эп.), 60 мин.","приключения, фантастика","02.11.1988",6.5,3713
174,1443,"Сол Бьянка [Sol Bianca]","OVA (2 эп.), 60 мин.","приключения, фантастика","c 21.03.1990 по 21.07.1991",6.6,3802
175,116,"Эль-Хазард: Странники [El Hazard: The Wanderers]","ТВ (26 эп.), 25 мин.","фэнтези, комедия, романтика","c 06.10.1995 по 29.03.1996",6.7,3729
177,528,"Покемон (фильм 01) [Pokemon: The First Movie - Mewtwo Strikes Back]","полнометражный фильм, 75 мин.","приключения, комедия","18.07.1998",7.9,1074
178,1025,"Столоначальник Одзи [The Legend of Black Heaven]","ТВ (13 эп.), 25 мин.","приключения, комедия, фантастика, музыкальный","c 08.07.1999 по 07.10.1999",8.0,871
179,492,"Армитаж: Двойная матрица [Armitage III: Dual Matrix]","полнометражный фильм, 90 мин.","приключения, фантастика, меха","25.06.2002",7.3,2358
180,1034,"Королевские космические силы: Крылья Хоннеамиз [Royal Space Force: The Wings of Honneamise]","полнометражный фильм, 120 мин.","приключения, фантастика, драма","14.03.1987",8.2,503
181,949,"Ганбастер: Дотянись до неба [Gunbuster]","OVA (6 эп. + спэшлы), 25 мин.","приключения, фантастика, меха","c 07.10.1988 по 07.07.1989",7.9,937
182,1251,"Надя с загадочного моря [ТВ] [Nadia: Secret of Blue Water]","ТВ (39 эп. + 10 спэшлов), 25 мин.","приключения, фантастика, романтика","c 13.04.1990 по 12.04.1991",8.0,952
183,305,"Семейка Абасири [The Abashiri Family]","OVA (4 эп.), 20 мин.","приключения, комедия, этти","c 21.05.1991 по 21.11.1991",6.3,3832
184,2017,"Шрам русалки [Mermaid's Scar]","OVA (1 эп.), 46 мин.","мистика, триллер, драма","24.09.1993",7.3,2472
185,2282,"У истоков Творения: Библейские истории [In the Beginning: The Bible Stories]","ТВ (26 эп.), 25 мин.","приключения, драма","c 01.04.1997 по 09.05.1997","",""
186,1893,"Малышка Адзуки [ТВ] []","ТВ (117 эп.), 25 мин.","повседневность, комедия, романтика","c 04.04.1995 по 17.03.1998",8.0,""
188,383,"Галактический ангел [ТВ-1] [Galaxy Angel]","ТВ (24 эп. + 2 спэшла), 12 мин.","приключения, комедия","c 08.04.2001 по 30.09.2001",7.5,1890
189,652,"Галактический ангел [ТВ-2] []","ТВ (18 эп.), 12 мин.","комедия","c 03.02.2002 по 31.03.2002",7.8,1505
